Week,Date,City,Predicted,Actual,MSE,RMSE
1,2/27,New York,57,55,4,2
1,2/27,Austin,84,80,16,4
1,2/27,Chicago,72,74,4,2
1,2/27,Miami,77,78,1,1
1,2/29,New York,42,43,1,1
1,2/29,Austin,50,49,1,1
1,2/29,Chicago,44,46,4,2
1,2/29,Miami,79,81,4,2
1,3/1,New York,46,48,4,2
1,3/1,Austin,69,68,1,1
1,3/1,Chicago,46,47,1,1
1,3/1,Miami,78,79,1,1
1,3/5,New York,49,49,0,0
1,3/5,Austin,89,91,4,2
1,3/5,Chicago,44,45,1,1
1,3/5,Miami,80,83,9,3
1,3/6,New York,53,53,0,0
1,3/6,Austin,83,83,0,0
1,3/6,Chicago,47,50,9,3
1,3/6,Miami,81,82,1,1
2,3/21,New York,50,43,49,7
2,3/21,Austin,69,64,25,5
2,3/21,Chicago,54,41,169,13
2,3/21,Miami,81,81,0,0
2,3/22,New York,52,46,36,6
2,3/22,Austin,76,79,9,3
2,3/22,Chicago,53,40,169,13
2,3/22,Miami,80,75,25,5
2,3/23,New York,50,50,0,0
2,3/23,Austin,79,73,36,6
2,3/23,Chicago,49,40,81,9
2,3/23,Miami,83,79,16,4
2,3/24,New York,51,48,9,3
2,3/24,Austin,78,73,25,5
2,3/24,Chicago,48,49,1,1
2,3/24,Miami,84,81,9,3
2,3/25,New York,55,52,9,3
2,3/25,Austin,76,79,9,3
2,3/25,Chicago,50,63,169,13
2,3/25,Miami,83,80,9,3
3,3/26,New York,54,53,1,1
3,3/26,Austin,77,66,121,11
3,3/26,Chicago,52,58,36,6
3,3/26,Miami,83,82,1,1
3,3/27,New York,55,52,9,3
3,3/27,Austin,76,67,81,9
3,3/27,Chicago,54,44,100,10
3,3/27,Miami,82,82,0,0
3,3/28,New York,54,51,9,3
3,3/28,Austin,79,76,9,3
3,3/28,Chicago,56,52,16,4
3,3/28,Miami,82,87,25,5
3,4/1,New York,54,54,0,0
3,4/1,Austin,77,82,25,5
3,4/1,Chicago,52,51,1,1
3,4/1,Miami,80,82,4,2
3,4/2,New York,54,51,9,3
3,4/2,Austin,77,75,4,2
3,4/2,Chicago,54,62,64,8
3,4/2,Miami,80,85,25,5
